path,game_id,game_name,year_month,listing_type,listing_type_label,rows,bytes,price_candidate_rows,strict_price_rows,min_posted_at,max_posted_at
partitions/digimontcg/2026-07/buy.csv,digimontcg,디지몬 카드게임,2026-07,buy,구매,1712,1044375,974,0,2026-07-04T21:23:06+09:00,2026-07-31T23:44:46+09:00
partitions/digimontcg/2026-07/sell.csv,digimontcg,디지몬 카드게임,2026-07,sell,판매,5629,3504458,2664,6,2026-07-04T23:52:04+09:00,2026-07-31T21:34:40+09:00
partitions/digimontcg/2026-07/trade.csv,digimontcg,디지몬 카드게임,2026-07,trade,교환,70,48526,17,0,2026-07-06T16:24:26+09:00,2026-07-30T16:58:04+09:00
partitions/digimontcg/2026-07/unknown.csv,digimontcg,디지몬 카드게임,2026-07,unknown,미분류,4105,2559483,2353,0,2026-07-04T22:38:39+09:00,2026-07-31T21:00:46+09:00
partitions/digimontcg/2026-08/buy.csv,digimontcg,디지몬 카드게임,2026-08,buy,구매,1007,618079,497,16,2026-08-01T08:08:38+09:00,2026-08-13T16:03:54+09:00
partitions/digimontcg/2026-08/sell.csv,digimontcg,디지몬 카드게임,2026-08,sell,판매,6175,3805177,3406,0,2026-08-01T01:15:42+09:00,2026-08-13T17:02:55+09:00
partitions/digimontcg/2026-08/trade.csv,digimontcg,디지몬 카드게임,2026-08,trade,교환,91,64304,12,0,2026-08-01T08:36:00+09:00,2026-08-11T11:08:48+09:00
partitions/digimontcg/2026-08/unknown.csv,digimontcg,디지몬 카드게임,2026-08,unknown,미분류,3609,2306081,1588,0,2026-08-01T00:45:01+09:00,2026-08-13T17:07:12+09:00
partitions/onepiececardgame/2026-07/buy.csv,onepiececardgame,원피스 카드게임,2026-07,buy,구매,1230,732228,609,3,2026-07-12T16:07:15+09:00,2026-07-31T22:59:31+09:00
partitions/onepiececardgame/2026-07/sell.csv,onepiececardgame,원피스 카드게임,2026-07,sell,판매,6388,3814627,3918,10,2026-07-12T09:33:29+09:00,2026-07-31T22:56:24+09:00
partitions/onepiececardgame/2026-07/unknown.csv,onepiececardgame,원피스 카드게임,2026-07,unknown,미분류,1129,720456,430,0,2026-07-12T18:11:39+09:00,2026-07-31T20:58:52+09:00
partitions/onepiececardgame/2026-08/buy.csv,onepiececardgame,원피스 카드게임,2026-08,buy,구매,1704,1035083,736,0,2026-08-01T01:05:13+09:00,2026-08-13T16:58:03+09:00
partitions/onepiececardgame/2026-08/sell.csv,onepiececardgame,원피스 카드게임,2026-08,sell,판매,5378,3283509,2719,0,2026-08-01T00:11:30+09:00,2026-08-13T17:02:38+09:00
partitions/onepiececardgame/2026-08/unknown.csv,onepiececardgame,원피스 카드게임,2026-08,unknown,미분류,2406,1558591,948,0,2026-08-01T00:39:55+09:00,2026-08-13T16:04:40+09:00
