game_id,game_name,year_month,listing_type,listing_type_label,observations,sell_rows,buy_rows,trade_rows,unknown_rows,quantity_total,price_candidate_rows,strict_price_rows,missing_price_rows,unique_cards,unique_sellers,first_posted_at,last_posted_at,median_price_krw
digimontcg,디지몬 카드게임,2026-07,buy,구매,1712,0,1712,0,0,2254,974,0,263,468,483,2026-07-04T21:23:06+09:00,2026-07-31T23:44:46+09:00,
digimontcg,디지몬 카드게임,2026-07,sell,판매,5629,5629,0,0,0,6740,2664,6,0,948,537,2026-07-04T23:52:04+09:00,2026-07-31T21:34:40+09:00,500
digimontcg,디지몬 카드게임,2026-07,trade,교환,70,0,0,70,0,70,17,0,0,9,3,2026-07-06T16:24:26+09:00,2026-07-30T16:58:04+09:00,
digimontcg,디지몬 카드게임,2026-07,unknown,미분류,4105,0,0,0,4105,4952,2353,0,0,791,581,2026-07-04T22:38:39+09:00,2026-07-31T21:00:46+09:00,
digimontcg,디지몬 카드게임,2026-08,buy,구매,1007,0,1007,0,0,1297,497,16,138,126,315,2026-08-01T08:08:38+09:00,2026-08-13T16:03:54+09:00,3000
digimontcg,디지몬 카드게임,2026-08,sell,판매,6175,6175,0,0,0,7249,3406,0,0,569,387,2026-08-01T01:15:42+09:00,2026-08-13T17:02:55+09:00,
digimontcg,디지몬 카드게임,2026-08,trade,교환,91,0,0,91,0,91,12,0,0,9,2,2026-08-01T08:36:00+09:00,2026-08-11T11:08:48+09:00,
digimontcg,디지몬 카드게임,2026-08,unknown,미분류,3609,0,0,0,3609,4340,1588,0,3,337,346,2026-08-01T00:45:01+09:00,2026-08-13T17:07:12+09:00,
onepiececardgame,원피스 카드게임,2026-07,buy,구매,1230,0,1230,0,0,1849,609,3,210,391,305,2026-07-12T16:07:15+09:00,2026-07-31T22:59:31+09:00,3000
onepiececardgame,원피스 카드게임,2026-07,sell,판매,6388,6388,0,0,0,7882,3918,10,0,1238,712,2026-07-12T09:33:29+09:00,2026-07-31T22:56:24+09:00,2000
onepiececardgame,원피스 카드게임,2026-07,unknown,미분류,1129,0,0,0,1129,2099,430,0,0,367,170,2026-07-12T18:11:39+09:00,2026-07-31T20:58:52+09:00,
onepiececardgame,원피스 카드게임,2026-08,buy,구매,1704,0,1704,0,0,2483,736,0,301,303,337,2026-08-01T01:05:13+09:00,2026-08-13T16:58:03+09:00,
onepiececardgame,원피스 카드게임,2026-08,sell,판매,5378,5378,0,0,0,7599,2719,0,0,763,471,2026-08-01T00:11:30+09:00,2026-08-13T17:02:38+09:00,
onepiececardgame,원피스 카드게임,2026-08,unknown,미분류,2406,0,0,0,2406,4728,948,0,18,438,241,2026-08-01T00:39:55+09:00,2026-08-13T16:04:40+09:00,
onepiececardgame,원피스 카드게임,unknown-date,buy,구매,43,0,43,0,0,43,43,0,0,24,3,,,
pokemoncardgame,포켓몬 카드게임,2026-03,buy,구매,1,0,1,0,0,1,0,0,1,1,1,2026-03-31T19:48:15+09:00,2026-03-31T19:48:15+09:00,
pokemoncardgame,포켓몬 카드게임,2026-03,sell,판매,3,3,0,0,0,3,2,0,0,1,2,2026-03-31T11:35:49+09:00,2026-03-31T23:56:52+09:00,
pokemoncardgame,포켓몬 카드게임,2026-03,unknown,미분류,15,0,0,0,15,29,4,0,0,15,2,2026-03-31T10:11:45+09:00,2026-03-31T12:16:20+09:00,
pokemoncardgame,포켓몬 카드게임,2026-04,buy,구매,295,0,295,0,0,365,231,10,32,232,66,2026-04-01T23:17:23+09:00,2026-04-30T20:18:43+09:00,5000
pokemoncardgame,포켓몬 카드게임,2026-04,sell,판매,695,695,0,0,0,905,325,1,1,346,73,2026-04-01T12:04:40+09:00,2026-04-30T17:30:22+09:00,300
pokemoncardgame,포켓몬 카드게임,2026-04,trade,교환,8,0,0,8,0,8,0,0,0,4,1,2026-04-12T22:43:08+09:00,2026-04-26T12:59:07+09:00,
pokemoncardgame,포켓몬 카드게임,2026-04,unknown,미분류,1202,0,0,0,1202,1582,549,0,0,622,73,2026-04-01T03:39:56+09:00,2026-04-30T21:04:57+09:00,
pokemoncardgame,포켓몬 카드게임,2026-05,buy,구매,494,0,494,0,0,686,283,10,87,278,113,2026-05-01T00:28:20+09:00,2026-05-31T21:51:10+09:00,650
pokemoncardgame,포켓몬 카드게임,2026-05,sell,판매,968,968,0,0,0,1046,380,2,0,342,113,2026-05-01T16:20:29+09:00,2026-05-31T20:20:06+09:00,1650
pokemoncardgame,포켓몬 카드게임,2026-05,trade,교환,18,0,0,18,0,18,2,0,0,5,2,2026-05-01T04:02:29+09:00,2026-05-21T17:38:38+09:00,
pokemoncardgame,포켓몬 카드게임,2026-05,unknown,미분류,1075,0,0,0,1075,1237,759,0,0,491,114,2026-05-01T01:06:20+09:00,2026-05-31T23:55:04+09:00,
pokemoncardgame,포켓몬 카드게임,2026-06,buy,구매,588,0,588,0,0,2085,354,6,120,156,105,2026-06-01T14:54:05+09:00,2026-06-30T23:30:36+09:00,600
pokemoncardgame,포켓몬 카드게임,2026-06,sell,판매,3137,3137,0,0,0,4307,1192,3,0,623,145,2026-06-01T02:21:32+09:00,2026-06-30T23:22:04+09:00,10000
pokemoncardgame,포켓몬 카드게임,2026-06,unknown,미분류,5521,0,0,0,5521,17671,1625,0,0,1058,133,2026-06-01T13:15:24+09:00,2026-06-30T23:47:26+09:00,
pokemoncardgame,포켓몬 카드게임,2026-07,buy,구매,674,0,674,0,0,1323,437,3,74,138,121,2026-07-01T06:08:39+09:00,2026-07-31T20:08:27+09:00,600
pokemoncardgame,포켓몬 카드게임,2026-07,sell,판매,5583,5583,0,0,0,6878,720,177,136,748,174,2026-07-01T01:02:45+09:00,2026-07-31T20:14:36+09:00,2000
pokemoncardgame,포켓몬 카드게임,2026-07,unknown,미분류,1754,0,0,0,1754,2613,864,0,0,247,167,2026-07-01T01:10:01+09:00,2026-07-31T14:33:09+09:00,
pokemoncardgame,포켓몬 카드게임,2026-08,buy,구매,393,0,393,0,0,482,139,6,82,74,97,2026-08-01T16:09:39+09:00,2026-08-13T08:55:21+09:00,3000
pokemoncardgame,포켓몬 카드게임,2026-08,sell,판매,2172,2172,0,0,0,2961,758,345,0,191,133,2026-08-01T01:21:58+09:00,2026-08-13T17:09:45+09:00,2000
pokemoncardgame,포켓몬 카드게임,2026-08,trade,교환,8,0,0,8,0,8,0,0,0,4,1,2026-08-10T20:01:31+09:00,2026-08-10T20:01:31+09:00,
pokemoncardgame,포켓몬 카드게임,2026-08,unknown,미분류,809,0,0,0,809,1815,429,0,0,99,68,2026-08-01T12:05:50+09:00,2026-08-13T16:26:22+09:00,
tcggame,유희왕,2026-07,buy,구매,1726,0,1726,0,0,1948,1268,5,154,752,291,2026-07-07T10:48:36+09:00,2026-07-31T21:30:03+09:00,5000
tcggame,유희왕,2026-07,sell,판매,19451,19451,0,0,0,21967,10593,9,25,4500,1685,2026-07-07T11:34:55+09:00,2026-07-31T23:59:01+09:00,700
tcggame,유희왕,2026-07,trade,교환,15,0,0,15,0,15,5,0,0,9,4,2026-07-12T23:40:02+09:00,2026-07-24T18:42:17+09:00,
tcggame,유희왕,2026-07,unknown,미분류,3294,0,0,0,3294,3595,1639,0,1,1270,175,2026-07-07T11:10:43+09:00,2026-07-31T21:13:10+09:00,
tcggame,유희왕,2026-08,buy,구매,2689,0,2689,0,0,3089,1922,0,307,343,445,2026-08-01T00:16:52+09:00,2026-08-13T16:57:38+09:00,
tcggame,유희왕,2026-08,sell,판매,33886,33886,0,0,0,38698,15403,9,8,3023,2185,2026-08-01T00:00:43+09:00,2026-08-13T17:02:58+09:00,200
tcggame,유희왕,2026-08,trade,교환,30,0,0,30,0,30,2,0,0,6,7,2026-08-11T13:41:36+09:00,2026-08-11T20:52:07+09:00,
tcggame,유희왕,2026-08,unknown,미분류,5763,0,0,0,5763,6445,3273,0,0,555,257,2026-08-01T20:21:25+09:00,2026-08-13T16:40:48+09:00,
vg,뱅가드,2026-06,buy,구매,406,0,406,0,0,582,274,0,35,188,109,2026-06-10T00:15:49+09:00,2026-06-30T22:45:01+09:00,
vg,뱅가드,2026-06,sell,판매,2593,2593,0,0,0,3791,1173,0,0,576,189,2026-06-10T07:58:39+09:00,2026-06-30T22:20:16+09:00,
vg,뱅가드,2026-06,trade,교환,38,0,0,38,0,54,22,0,0,19,2,2026-06-21T16:35:22+09:00,2026-06-21T16:35:22+09:00,
vg,뱅가드,2026-06,unknown,미분류,2416,0,0,0,2416,3792,1245,0,0,554,187,2026-06-10T00:08:51+09:00,2026-06-30T23:58:59+09:00,
vg,뱅가드,2026-07,buy,구매,627,0,627,0,0,781,258,0,114,133,171,2026-07-01T01:10:31+09:00,2026-07-31T08:20:21+09:00,
vg,뱅가드,2026-07,sell,판매,7222,7222,0,0,0,9901,2943,10,0,889,532,2026-07-01T00:07:26+09:00,2026-07-31T23:12:43+09:00,2000
vg,뱅가드,2026-07,unknown,미분류,4237,0,0,0,4237,5660,1955,0,2,710,408,2026-07-01T02:58:07+09:00,2026-07-31T22:05:01+09:00,
vg,뱅가드,2026-08,buy,구매,660,0,660,0,0,1042,331,0,124,118,245,2026-08-01T01:57:12+09:00,2026-08-13T16:54:53+09:00,
vg,뱅가드,2026-08,sell,판매,8072,8072,0,0,0,9724,4212,6,0,682,400,2026-08-01T00:32:17+09:00,2026-08-13T17:09:29+09:00,27000
vg,뱅가드,2026-08,unknown,미분류,3043,0,0,0,3043,3880,1443,0,0,333,359,2026-08-01T02:08:27+09:00,2026-08-13T13:12:46+09:00,
